Number Atom1 Atom2 Atom3 Angle
540 As1 S1 Cu21 111.0(1)
541 As1 S1 Cu1 104.19
542 As1 S1 Cu1 104.19
543 Cu2 S1 Cu21 24.7
544 Cu2 S1 Cu21 24.7
545 Cu2 S1 Cu1 115.56
546 Cu2 S1 Cu1 115.56
547 Cu21 S1 Cu21 49.4(2)
548 Cu21 S1 Cu1 94.1
549 Cu21 S1 Cu1 136.1
550 Cu21 S1 Cu1 136.1
551 Cu21 S1 Cu1 94.1
552 Cu1 S1 Cu1 101.95
553 S1 Cu1 S1 109.51
554 S1 Cu1 S1 109.45
555 S1 Cu1 S1 109.45
556 S1 Cu1 S1 109.45
557 S1 Cu1 S1 109.45
558 S1 Cu1 S1 109.51
559 Cu21 Cu2 S2 57.2
560 Cu21 Cu2 S1 93.3
561 Cu21 Cu2 Cu21 40.0
562 Cu21 Cu2 S1 129.5
563 Cu21 Cu2 Cu21 137.4
564 Cu21 Cu2 Cu21 114.3
565 Cu21 Cu2 Cu21 97.4
566 Cu21 Cu2 Cu21 44.2
567 S2 Cu2 S1 129.7
568 S2 Cu2 Cu21 88.4
569 S2 Cu2 S1 129.7
570 S2 Cu2 Cu21 88.4
571 S2 Cu2 Cu21 57.2
572 S2 Cu2 Cu21 57.2
573 S2 Cu2 Cu21 57.2
574 S1 Cu2 Cu21 91.0
575 S1 Cu2 S1 100.62
576 S1 Cu2 Cu21 91.0
577 S1 Cu2 Cu21 129.5
578 S1 Cu2 Cu21 93.3
579 S1 Cu2 Cu21 129.5
580 Cu21 Cu2 S1 91.0
581 Cu21 Cu2 Cu21 176.8
582 Cu21 Cu2 Cu21 137.4
583 Cu21 Cu2 Cu21 137.4
584 Cu21 Cu2 Cu21 40.0
585 S1 Cu2 Cu21 91.0
586 S1 Cu2 Cu21 93.3
587 S1 Cu2 Cu21 129.5
588 S1 Cu2 Cu21 93.3
589 Cu21 Cu2 Cu21 40.0
590 Cu21 Cu2 Cu21 40.0
591 Cu21 Cu2 Cu21 137.4
592 Cu21 Cu2 Cu21 44.2
593 Cu21 Cu2 Cu21 97.4
594 Cu21 Cu2 Cu21 114.3
595 Cu2 Cu21 Cu21 18.7
596 Cu2 Cu21 S2 50.4
597 Cu2 Cu21 S1 98.9
598 Cu2 Cu21 Cu2 102.6
599 Cu2 Cu21 S1 161.1
600 Cu2 Cu21 Cu21 101.3
601 Cu2 Cu21 Cu2 69.6
602 Cu2 Cu21 Cu21 67.9
603 Cu2 Cu21 As1 83.9
604 Cu21 Cu21 S2 64.7
605 Cu21 Cu21 S1 106.1(3)
606 Cu21 Cu21 Cu2 121.3
607 Cu21 Cu21 S1 166.1(3)
608 Cu21 Cu21 Cu21 120.0(3)
609 Cu21 Cu21 Cu2 67.9
610 Cu21 Cu21 Cu21 60.0(2)
611 Cu21 Cu21 As1 65.2(2)
612 S2 Cu21 S1 110.7
613 S2 Cu21 Cu2 66.4
614 S2 Cu21 S1 110.7
615 S2 Cu21 Cu21 64.8
616 S2 Cu21 Cu2 50.4
617 S2 Cu21 Cu21 64.7
618 S2 Cu21 As1 121.5
619 S1 Cu21 Cu2 64.3
620 S1 Cu21 S1 87.8(2)
621 S1 Cu21 Cu21 65.3(2)
622 S1 Cu21 Cu2 161.1
623 S1 Cu21 Cu21 166.1(3)
624 S1 Cu21 As1 110.5(2)
625 Cu2 Cu21 S1 64.3
626 Cu2 Cu21 Cu21 1.6
627 Cu2 Cu21 Cu2 102.6
628 Cu2 Cu21 Cu21 121.3
629 Cu2 Cu21 As1 172.1
630 S1 Cu21 Cu21 65.3(2)
631 S1 Cu21 Cu2 98.9
632 S1 Cu21 Cu21 106.1(3)
633 S1 Cu21 As1 110.5(2)
634 Cu21 Cu21 Cu2 101.3
635 Cu21 Cu21 Cu21 120.0(3)
636 Cu21 Cu21 As1 173.7(3)
637 Cu2 Cu21 Cu21 18.7
638 Cu2 Cu21 As1 83.9
639 Cu21 Cu21 As1 65.2(2)
640 S1 Cu1 S1 109.51
641 S1 Cu1 S1 109.45
642 S1 Cu1 S1 109.45
643 S1 Cu1 S1 109.45
644 S1 Cu1 S1 109.45
645 S1 Cu1 S1 109.51
646 S2 Cu2 S1 129.7
647 S2 Cu2 Cu21 88.4
648 S2 Cu2 S1 129.7
649 S2 Cu2 Cu21 57.2
650 S2 Cu2 Cu21 57.2
651 S2 Cu2 Cu21 88.4
652 S2 Cu2 Cu21 57.2
653 S2 Cu2 Cu21 57.2
654 S1 Cu2 Cu21 91.0
655 S1 Cu2 S1 100.62
656 S1 Cu2 Cu21 93.3
657 S1 Cu2 Cu21 129.5
658 S1 Cu2 Cu21 91.0
659 S1 Cu2 Cu21 93.3
660 S1 Cu2 Cu21 129.5
661 Cu21 Cu2 S1 91.0
662 Cu21 Cu2 Cu21 40.0
663 Cu21 Cu2 Cu21 137.4
664 Cu21 Cu2 Cu21 176.8
665 Cu21 Cu2 Cu21 137.4
666 Cu21 Cu2 Cu21 40.0
667 S1 Cu2 Cu21 129.5
668 S1 Cu2 Cu21 93.3
669 S1 Cu2 Cu21 91.0
670 S1 Cu2 Cu21 129.5
671 S1 Cu2 Cu21 93.3
672 Cu21 Cu2 Cu21 114.3
673 Cu21 Cu2 Cu21 137.4
674 Cu21 Cu2 Cu21 97.4
675 Cu21 Cu2 Cu21 44.2
676 Cu21 Cu2 Cu21 40.0
677 Cu21 Cu2 Cu21 44.2
678 Cu21 Cu2 Cu21 97.4
679 Cu21 Cu2 Cu21 40.0
680 Cu21 Cu2 Cu21 137.4
681 Cu21 Cu2 Cu21 114.3
682 S2 Cu21 Cu2 50.4
683 S2 Cu21 S1 110.7
684 S2 Cu21 Cu2 66.4
685 S2 Cu21 S1 110.7
686 S2 Cu21 Cu21 64.7
687 S2 Cu21 Cu21 64.8
688 S2 Cu21 Cu2 50.4
689 S2 Cu21 Cu21 64.7
690 S2 Cu21 As1 121.5
691 Cu2 Cu21 S1 98.9
692 Cu2 Cu21 Cu2 102.6
693 Cu2 Cu21 S1 161.1
694 Cu2 Cu21 Cu21 18.7
695 Cu2 Cu21 Cu21 101.3
696 Cu2 Cu21 Cu2 69.6
697 Cu2 Cu21 Cu21 67.9
698 Cu2 Cu21 As1 83.9
699 S1 Cu21 Cu2 64.3
700 S1 Cu21 S1 87.8(2)
701 S1 Cu21 Cu21 106.1(3)
702 S1 Cu21 Cu21 65.3(2)
703 S1 Cu21 Cu2 161.1
704 S1 Cu21 Cu21 166.1(3)
705 S1 Cu21 As1 110.5(2)
706 Cu2 Cu21 S1 64.3
707 Cu2 Cu21 Cu21 121.3
708 Cu2 Cu21 Cu21 1.6
709 Cu2 Cu21 Cu2 102.6
710 Cu2 Cu21 Cu21 121.3
711 Cu2 Cu21 As1 172.1
712 S1 Cu21 Cu21 166.1(3)
